open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1666213200000,-0.00040256,0.00008901,-0.00111393,-0.00054190,0,1666216799999,0,720,0,0,0
1666216800000,-0.00055853,0.00008377,-0.00086404,-0.00030318,0,1666220399999,0,720,0,0,0
1666220400000,-0.00029672,-0.00007728,-0.00118794,-0.00044282,0,1666223999999,0,720,0,0,0
1666224000000,-0.00044176,0.00071012,-0.00201077,-0.00061184,0,1666227599999,0,720,0,0,0
1666227600000,-0.00055703,0.00011333,-0.00108548,-0.00052961,0,1666231199999,0,720,0,0,0
1666231200000,-0.00045642,-0.00008403,-0.00088132,-0.00048695,0,1666234799999,0,719,0,0,0
1666234800000,-0.00051821,-0.00022945,-0.00071557,-0.00041724,0,1666238399999,0,720,0,0,0
1666238400000,-0.00064215,0.00016489,-0.00085239,-0.00042367,0,1666241999999,0,720,0,0,0
1666242000000,-0.00010992,-0.00010992,-0.00080343,-0.00060048,0,1666245599999,0,720,0,0,0
1666245600000,-0.00061601,-0.00021838,-0.00081733,-0.00039785,0,1666249199999,0,719,0,0,0
1666249200000,-0.00035693,0.00031649,-0.00075628,-0.00032323,0,1666252799999,0,720,0,0,0
1666252800000,-0.00032212,-0.00014013,-0.00069516,-0.00051640,0,1666256399999,0,720,0,0,0
1666256400000,-0.00049875,-0.00011368,-0.00057788,-0.00044750,0,1666259999999,0,720,0,0,0
1666260000000,-0.00041761,0.00003025,-0.00102403,-0.00048152,0,1666263599999,0,720,0,0,0
1666263600000,-0.00051532,0.00006145,-0.00088167,-0.00055026,0,1666267199999,0,720,0,0,0
1666267200000,-0.00053139,-0.00002659,-0.00108144,-0.00061759,0,1666270799999,0,720,0,0,0
1666270800000,-0.00059276,0.00029727,-0.00087000,-0.00059232,0,1666274399999,0,720,0,0,0
1666274400000,-0.00059452,0.00036568,-0.00129711,-0.00047473,0,1666277999999,0,720,0,0,0
1666278000000,-0.00044229,-0.00014355,-0.00083463,-0.00045220,0,1666281599999,0,720,0,0,0
1666281600000,-0.00044808,0.00005934,-0.00139754,-0.00029742,0,1666285199999,0,720,0,0,0
1666285200000,-0.00030953,-0.00005112,-0.00081080,-0.00037375,0,1666288799999,0,720,0,0,0
1666288800000,-0.00015709,0.00008384,-0.00105853,-0.00039795,0,1666292399999,0,720,0,0,0
1666292400000,-0.00046677,-0.00004990,-0.00077250,-0.00051992,0,1666295999999,0,720,0,0,0
1666296000000,-0.00047150,0.00000739,-0.00116080,-0.00035364,0,1666299599999,0,720,0,0,0
1666299600000,-0.00037838,0.00009191,-0.00080301,-0.00051266,0,1666303199999,0,720,0,0,0
1666303200000,-0.00056000,-0.00011758,-0.00159532,-0.00041698,0,1666306799999,0,720,0,0,0
1666306800000,-0.00049039,-0.00022103,-0.00088265,-0.00050426,0,1666310399999,0,720,0,0,0
1666310400000,-0.00047154,0.00014929,-0.00083162,-0.00052187,0,1666313999999,0,720,0,0,0
1666314000000,-0.00043374,-0.00014897,-0.00073903,-0.00037108,0,1666317599999,0,720,0,0,0
1666317600000,-0.00040115,-0.00011355,-0.00078368,-0.00042156,0,1666321199999,0,720,0,0,0
1666321200000,-0.00048033,-0.00029094,-0.00074226,-0.00041654,0,1666324799999,0,720,0,0,0
1666324800000,-0.00034539,-0.00022062,-0.00097316,-0.00034123,0,1666328399999,0,720,0,0,0
1666328400000,-0.00028230,-0.00015840,-0.00068695,-0.00046049,0,1666331999999,0,720,0,0,0
1666332000000,-0.00048268,-0.00005823,-0.00087480,-0.00044676,0,1666335599999,0,720,0,0,0
1666335600000,-0.00049543,0.00006384,-0.00092795,-0.00056901,0,1666339199999,0,720,0,0,0
1666339200000,-0.00046299,-0.00006461,-0.00078212,-0.00039384,0,1666342799999,0,720,0,0,0
1666342800000,-0.00035485,0.00004956,-0.00137813,-0.00046127,0,1666346399999,0,720,0,0,0
