timestamp,btc_short_liquidations
1615882800000.0,12948.89
1615883400000.0,2054.18
1615884000000.0,18302.43
1615884900000.0,10609.21
1615885800000.0,31652.19
1615886700000.0,59173.35
1615887300000.0,12922.25
1615887900000.0,13210.19
1615888500000.0,26834.33
1615889400000.0,10324.42
1615890000000.0,17716.95
1615890300000.0,23760.49
1615890900000.0,20944.12
1615891800000.0,14307.07
1615892700000.0,10525.92
1615893300000.0,10196.62
1615893900000.0,13930.77
1615894500000.0,10092.38
1615894800000.0,13982.34
1615895100000.0,16868.69
1615895700000.0,12232.83
1615896300000.0,5495.8
1615896900000.0,15318.47
1615897500000.0,20373.69
1615898400000.0,19612.09
1615899000000.0,47947.24
1615899600000.0,26238.87
1615900200000.0,84679.99
1615900800000.0,12886.37
1615901400000.0,14431.02
1615901700000.0,16671.7
1615902300000.0,10955.54
1615902600000.0,28193.2
1615903200000.0,16235.21
1615903800000.0,12857.82
1615904400000.0,10493.03
1615905300000.0,13241.69
1615906200000.0,34176.96
1615907100000.0,16075.35
1615907700000.0,10450.34
1615908000000.0,11753.06
1615909200000.0,14017.02
1615910100000.0,15894.73
1615910700000.0,39360.53
1615911000000.0,12480.72
1615911600000.0,11544.02
1615911900000.0,14239.7
1615912500000.0,10290.18
1615913700000.0,10644.58
1615914600000.0,18252.98
1615915800000.0,17191.12
1615916400000.0,29051.25
1615917000000.0,7734.42
1615917900000.0,13678.43
1615918800000.0,9238.4
1615920000000.0,11698.17
1615920600000.0,11927.18
1615922100000.0,34577.59
1615923000000.0,13890.37
1615924200000.0,111569.84
1615925100000.0,16408.5
1615925700000.0,23282.65
1615926300000.0,11200.58
1615927200000.0,5202.21
1615927800000.0,10548.86
1615929000000.0,2348.15
1615929600000.0,11078.05
1615930200000.0,8008.44
1615931700000.0,46177.51
1615932600000.0,4604.83
1615933500000.0,11120.59
1615934400000.0,12176.13
1615935300000.0,4059.4
1615936200000.0,11088.08
1615937400000.0,18180.04
1615938300000.0,74121.24
1615939200000.0,16370.03
1615939500000.0,17412.4
1615940100000.0,13319.54
1615941000000.0,11376.1
1615941900000.0,3076.23
1615942800000.0,17556.93
1615944000000.0,22709.44
1615944600000.0,10231.0
1615945800000.0,13543.42
1615947000000.0,17336.77
1615947900000.0,19315.64
1615948800000.0,10084.86
1615949700000.0,9572.24
1615950600000.0,12228.24
1615951500000.0,11162.81
1615952700000.0,10227.04
1615953300000.0,10659.57
1615953600000.0,18751.75
1615954500000.0,3921.87
1615955700000.0,10192.56
1615956900000.0,16545.28
1615957500000.0,3954.51
1615958100000.0,24314.87
1615959300000.0,40528.11
1615960200000.0,14297.66
1615961100000.0,10217.88
1615961700000.0,27597.47
1615962600000.0,13103.5
1615963800000.0,10928.93
1615965000000.0,14677.02
1615965600000.0,16390.46
1615966500000.0,13039.35
1615967400000.0,14470.57
1615968600000.0,33804.64
1615969800000.0,10029.18
1615970400000.0,21.41
1615971300000.0,12082.0
1615972200000.0,10681.05
1615973100000.0,17703.33
1615973700000.0,16860.92
1615974000000.0,12749.4
1615974300000.0,29732.55
1615974600000.0,26378.61
1615974900000.0,20082.45
1615975500000.0,12256.44
1615976400000.0,23695.54
1615977000000.0,12554.45
1615977900000.0,12721.95
1615978800000.0,12600.32
1615979700000.0,13368.43
1615980300000.0,14214.01
1615980900000.0,42157.88
1615981500000.0,12509.25
1615982100000.0,14207.93
1615982700000.0,18005.56
1615983000000.0,19128.35
1615983300000.0,120377.41
1615983600000.0,54353.85
1615984200000.0,13082.95
1615984500000.0,5575.42
1615984800000.0,8262.54
1615985700000.0,11676.95
1615986600000.0,10172.4
1615987200000.0,14802.61
1615988100000.0,12795.04
1615988700000.0,14518.13
1615989000000.0,8420.29
1615989300000.0,1114.22
1615989900000.0,11555.54
1615990500000.0,19758.79
1615991100000.0,1886.77
1615992000000.0,19510.88
1615992900000.0,22847.98
1615993500000.0,78359.45
1615993800000.0,15910.46
1615994100000.0,6804.09
1615994400000.0,13516.97
1615995000000.0,14099.43
1615995300000.0,10734.27
1615995900000.0,21632.48
1615996800000.0,34265.24
1615997400000.0,11484.88
1615998300000.0,47292.42
1615998600000.0,10446.88
1615999200000.0,2413.03
1616000100000.0,11407.1
1616001600000.0,16860.93
1616002800000.0,12875.0
1616003400000.0,167528.93
1616004300000.0,99222.52
1616004900000.0,39819.99
1616005200000.0,13710.17
1616005500000.0,12449.98
1616005800000.0,37156.68
1616006400000.0,88014.73
1616006700000.0,18918.28
1616007000000.0,91530.5
1616007600000.0,64658.49
1616007900000.0,12275.65
1616008200000.0,12479.23
1616008500000.0,16023.58
1616009100000.0,154606.22
1616009700000.0,14523.6
1616010000000.0,21295.57
1616010600000.0,12332.13
1616011200000.0,8189.57
1616011500000.0,7287.58
1616012100000.0,10389.43
1616012700000.0,4468.6
1616013300000.0,13653.12
1616013900000.0,11802.06
1616014500000.0,3797.88
1616015100000.0,12391.93
1616016000000.0,45640.41
1616016600000.0,83115.11
1616016900000.0,17098.54
1616017200000.0,1630.89
1616017500000.0,656.94
1616018400000.0,36912.73
1616019000000.0,20062.74
1616019300000.0,15136.05
1616019900000.0,9347.5
1616020500000.0,10786.7
1616021100000.0,15530.6
1616022000000.0,38075.63
1616022900000.0,10359.43
1616023800000.0,9003.45
1616024700000.0,47366.3
1616025600000.0,84187.82
1616025900000.0,10717.57
1616026200000.0,1336.98
1616026800000.0,14414.4
1616027100000.0,22846.02
1616027700000.0,13527.33
1616028600000.0,12728.04
1616029500000.0,9370.75
1616030400000.0,11563.37
1616031300000.0,12700.91
1616032200000.0,45542.96
1616033100000.0,4783.32
1616034000000.0,11067.13
1616034900000.0,10579.64
1616035800000.0,12547.83
1616037000000.0,10485.63
1616037900000.0,11800.71
1616038500000.0,1124.77
1616039700000.0,16108.31
1616040600000.0,15747.61
1616041200000.0,10572.84
1616042100000.0,12432.9
1616043300000.0,10708.01
1616044200000.0,24005.86
1616045100000.0,12913.32
1616046000000.0,12446.58
1616047800000.0,13098.16
1616049000000.0,15009.92
1616050500000.0,15023.75
1616051400000.0,10176.49
1616052000000.0,21592.94
1616052600000.0,12009.21
1616053200000.0,13905.24
1616053500000.0,22248.54
