timestamp,btc_long_liquidations
1631482200000.0,10565.53
1631483100000.0,11860.16
1631484000000.0,12414.26
1631484600000.0,1090.9
1631485800000.0,13754.56
1631487000000.0,14835.49
1631487600000.0,16087.07
1631487900000.0,25676.41
1631488200000.0,10305.72
1631488800000.0,11617.23
1631489700000.0,18066.23
1631490600000.0,508.31
1631491500000.0,11844.91
1631492700000.0,26838.89
1631493900000.0,8134.0
1631495400000.0,108486.61
1631495700000.0,13700.02
1631496000000.0,34021.29
1631496900000.0,10698.5
1631497500000.0,4537.07
1631498400000.0,11809.61
1631499000000.0,14346.53
1631499900000.0,25645.64
1631500500000.0,5925.45
1631501100000.0,19123.82
1631502000000.0,12314.06
1631502600000.0,10132.73
1631503500000.0,21704.6
1631504700000.0,105257.85
1631505600000.0,16383.64
1631505900000.0,25557.99
1631506500000.0,12747.61
1631507400000.0,10141.64
1631508300000.0,11046.21
1631509200000.0,13331.46
1631509800000.0,4975.76
1631510400000.0,12608.34
1631511000000.0,22911.73
1631512200000.0,16900.66
1631512800000.0,9718.71
1631513400000.0,14520.37
1631514600000.0,10785.55
1631515500000.0,11279.36
1631517000000.0,105225.07
1631517600000.0,10166.49
1631517900000.0,15330.41
1631518200000.0,13809.86
1631518500000.0,4939.85
1631519100000.0,23083.28
1631519400000.0,18010.28
1631520000000.0,17620.89
1631520600000.0,15425.75
1631521200000.0,14723.14
1631521800000.0,9405.4
1631522400000.0,14996.95
1631523300000.0,3954.89
1631524500000.0,12064.65
1631525700000.0,12307.13
1631526300000.0,12184.71
1631527500000.0,11831.33
1631528400000.0,6767.43
1631529900000.0,11203.98
1631531100000.0,76542.44
1631531700000.0,23471.1
1631532000000.0,12920.19
1631532300000.0,17115.82
1631532900000.0,6867.97
1631533800000.0,12296.24
1631534400000.0,11662.95
1631535000000.0,6039.98
1631535600000.0,19642.85
1631536200000.0,8934.69
1631537400000.0,10779.87
1631538300000.0,52681.59
1631540100000.0,60631.21
1631540400000.0,46716.64
1631540700000.0,86390.38
1631541000000.0,34087.34
1631541300000.0,19076.6
1631541600000.0,1832574.51
1631541900000.0,54211.18
1631542200000.0,188904.41
1631542500000.0,661941.54
1631542800000.0,53030.44
1631543100000.0,31859.6
1631543400000.0,58329.49
1631543700000.0,13990.36
1631544000000.0,8606.98
1631544300000.0,12056.15
1631544600000.0,30433.61
1631545200000.0,16779.03
1631545800000.0,10625.62
1631546400000.0,21492.29
1631547000000.0,16234.0
1631547300000.0,17515.48
1631547900000.0,1875.52
1631548800000.0,10583.55
1631549400000.0,5490.91
1631550000000.0,11447.89
1631551500000.0,10377.41
1631552400000.0,1653.16
1631553300000.0,2627.87
1631554200000.0,10573.57
1631555700000.0,4659.88
1631557200000.0,12310.09
1631558100000.0,2367.6
1631559300000.0,11648.77
1631560500000.0,10687.32
1631562000000.0,13188.35
1631563500000.0,9632.3
1631565000000.0,12041.34
1631566500000.0,12073.84
1631566800000.0,18884.53
1631567100000.0,35348.8
1631567700000.0,4286.66
1631568900000.0,10489.44
1631569800000.0,10430.37
1631571300000.0,10579.84
1631573100000.0,8949.95
1631574900000.0,10622.1
1631575800000.0,11490.12
1631577600000.0,5122.19
1631578200000.0,17134.62
1631578800000.0,52541.26
1631579400000.0,11073.44
1631580000000.0,13776.19
1631581500000.0,11260.79
1631582700000.0,16247.86
1631584800000.0,10343.72
1631586600000.0,3160.97
1631588100000.0,10036.97
1631590500000.0,10968.06
1631592000000.0,10011.64
1631593500000.0,29878.4
1631595600000.0,11619.37
1631597700000.0,10840.19
1631600100000.0,1216.55
1631601600000.0,19679.33
1631601900000.0,72000.37
1631602200000.0,17121.53
1631602800000.0,21713.21
1631603100000.0,12314.06
1631603700000.0,11656.55
1631604600000.0,14800.71
1631605800000.0,11857.75
1631606700000.0,13280.1
1631607600000.0,12690.91
1631608500000.0,15396.74
1631609100000.0,11224.16
1631610000000.0,13626.53
1631610300000.0,39775.87
1631610900000.0,10140.9
1631611500000.0,13978.45
1631612400000.0,7732.16
1631613300000.0,12165.29
1631614800000.0,11740.77
1631616300000.0,11693.31
1631617500000.0,11248.78
1631619000000.0,22269.36
